,qname,teloBPLengths
114,25e2aaf2-0e6b-4446-a191-435962008a21,3852
115,26447c2a-fa63-4600-b45b-84c8409701d3,4524
116,17c10a86-aad7-4139-aa00-a2ea33082c8e,4992
117,17e334bf-bdef-4b04-a1c7-18b858b6cc59,108
118,271e4c48-f2f7-4216-b967-77fa8014c1ff,18
119,1792120f-59f0-4fde-8598-70615855f97a,2538
120,18ad1084-203c-4b63-b5c8-df9dba4c5815,2748
121,185273a8-d799-4b15-bee4-a09c9a60e0dd,2544
122,19033ab3-557e-46a0-955c-994b93b0d8ce,2208
123,19711a5c-f410-4398-9a92-4d9892c0298e,3750
124,1a853380-5908-4d2e-82cb-d7e9a1a65530,1992
125,1aeada0c-4ed8-42d2-8e97-b4e6159a6b60,2058
126,1b2fddaa-f6da-449b-b4ed-8826f6e8f05f,4500
127,13338c74-8d6f-4944-a094-58eed58153f0,5814
128,1893ed69-9dd9-4b73-b222-0f21fe1aa5ca,204
129,18a90fd3-d992-46dc-9cc4-39c3c0bb69f8,2322
130,190a0155-1b35-46e0-8231-a6a77f4e91a5,5388
131,198149f9-adb3-4c50-8702-1b67e8d405a2,4458
132,1a346fef-460d-40a1-b5df-08dae5b9abdb,2586
133,14ce971e-b6e5-402f-a229-9d115e6088cf,2928
134,28296e3b-aa65-4c3c-8dd9-21f5f5bd0503,120
135,297888cc-bdf8-4e09-8ac1-195cea9a8c7a,3738
136,2a238095-d9fb-4502-a335-f7dda3eb8b84,2220
137,2be0c816-2baf-457d-a20c-7205d5bba6e4,840
138,1613c0d8-454c-4ce0-a065-e72f69c64efa,36
139,2bd0a0c6-be55-4ab5-b6b2-7a865a5ba1b7,42
140,2bf6830c-5ab3-462a-ada0-8d8bcce2fd3d,3606
141,1b422fa0-350f-4878-a176-7c7c5d5dd68c,3138
142,1d4e7f5e-86d6-40b9-9573-172298bbda4a,318
143,16cf1925-bf18-4c92-8cfd-cd179f803adc,2484
144,16e6114e-da83-4872-9163-db09bc83df58,4734
145,17f3ad41-3ddf-4135-9391-c36612a03d30,186
146,1800419a-c758-406b-8432-e9e42616fdef,372
147,18f49616-6483-4f5c-8fef-80fe3ded65d0,60
148,1d901302-a50e-42cb-a924-1baa40dd2f2b,3534
149,1e61ce34-691d-4519-8321-88eab2bf2075,4560
150,1f280462-9bbb-473c-98a4-d0c51b168a85,1524
151,18b9735a-058a-4d5f-b820-a911b3690b14,3792
152,193c946c-0015-43a2-a667-bb7dfe07c088,2904
153,1daf7f19-0240-4d03-89c3-7484a2916a72,5268
154,1ea5c6f3-04d9-4975-9694-e85b72d0d108,3900
155,21f4b14e-1255-4cac-a56d-75fd7d5de3ce,3288
156,2e1cb466-193f-445a-86cf-ba5c6904e538,5952
157,30f29f54-bb1d-4e8f-b39c-6024fa12f0fd,3228
158,31bef312-8cc7-414f-8360-e813f7f51004,5022
159,31e0650a-a3d4-459e-ad52-1dc0edc9d2e7,114
160,3363c2f3-ea64-429b-b5b1-623af7f4a582,42
161,33599931-cb1d-4d74-b6c5-1632512b9da9,7128
162,34bbb3a1-3643-4655-af74-2d3d4a37a87e,4188
163,3562d2c6-a2f8-4de3-a4a5-118df1e84260,4518
164,22f7c422-ae3b-4a1d-9046-846cc133b8e8,4386
165,23f1d40b-7287-4259-bfd0-274ea57cc572,1986
166,24e3f2f2-8b50-4366-90c4-bd6af7c1e1d9,3114
