,qname,teloBPLengths
259,93758814-31f2-4a66-970b-1307c8f2a189,4530
260,a144a64a-b980-45ca-980c-27d9d6c7b759,324
261,8b4a6c34-0a95-46f2-90c7-56c2af14ae01,24
262,94172a66-b63e-4765-b0c9-f955d7c0eba5,96
263,d8cdcc86-e536-4f67-bcbd-3b56d5bdf9c7,540
264,1d4e7f5e-86d6-40b9-9573-172298bbda4a,222
265,4b8017c2-b910-44f1-b0fc-0bea0b8b672e,294
266,a22d0210-cb0c-4288-aecb-138a32255a07,5286
267,f8e201d0-010b-4fe4-87fd-0685a7d1ec7a,78
268,dd041f8b-7e72-471f-89b6-f7a3dcfd6d86,384
269,96b27998-cc1e-40bf-a6b0-2dd26262a139,162
270,eb1ff4a2-34ee-45e8-9c10-120c84567008,240
271,9e8bbaf0-6288-4013-a940-a1df8809ec04,30
272,d28d4405-6430-44b2-ac97-f797f54bb151,66
273,443aed1c-cc59-4a18-902c-17ff1d45a900,810
274,25e2aaf2-0e6b-4446-a191-435962008a21,126
275,fc8f32ee-3f56-40c9-bc5d-0cba325edb5d,3732
276,b2bd97c1-73a6-43db-85d0-d0768a4a2d7b,216
277,e3e64680-ec1b-489b-9169-e7c5fa246ba8,5658
278,19982cb0-ba65-4964-ac0d-b7dca9677a33,4152
279,02bfe233-19f5-4965-a4eb-212fbd96fa07,144
280,61dd4872-29bc-4835-aee6-20e95f66cb8a,114
281,6cbeb5d1-0c46-489e-b791-9a03567b8150,102
282,fdbfaba7-40ca-4dfc-aa84-e784f14aedd8,12
283,2dee541a-ec60-43b0-83f1-ad696314d272,84
284,76f57276-dc6a-4e86-9a6f-eb2cdbaf4ea3,150
285,facd9f26-cc50-45d0-b63d-53c3ab42803b,1212
286,e97744f5-9d8b-4904-9c75-d9c1591f7f38,3864
287,f04b256e-1d96-4d6f-b721-8119f9e82fec,150
288,8cec0b2f-6814-4112-986a-be4afb2854c4,12
289,5826c2fa-4d28-4acb-89ea-89b2b8ec0926,126
290,c6d51f01-fa6b-4dee-b72c-2707979dc439,48
291,2e4fd90e-0610-4c5c-9e6d-37e6e581bc9e,18
292,4c5f7f21-fe4c-46b8-a412-6bec121c48d0,2886
293,5b3ee6c6-ea7e-4374-9c73-d803f9c50d70,324
294,bbfde7b3-f2cf-4752-aa02-dcd2509ebbb7,2568
295,5b1f9f0f-4df1-4dca-94b3-3559f205a608,36
296,d81acc27-1001-4c2c-b022-0239090be3f7,168
297,e999adb9-e0c5-4150-8c59-1c0aa69ba75a,6
298,846c2da0-ad31-47b4-800a-5044b7f28b18,210
299,b758ff4f-9e36-4066-85ee-2da9352d62a5,186
300,3e1519f5-8fa6-4ba8-a53c-2d07ecade952,36
301,1eedddd1-9ae9-4009-bc67-867b5b0e952e,84
302,d4b98906-6a84-4e08-a482-e5ca730b9442,630
303,de93a5bd-c3f4-47b3-9c1b-6558a23e461b,2562
304,c2ee0fb0-1edb-43cf-93a3-7907ca2aa323,126
305,d5a6c890-87ba-4d19-94b3-af60bf87a80a,348
306,95e2704e-14e5-4e18-969b-4f11523f66de,780
307,8e526139-2c79-4b3d-b313-ef97c1ffd51c,12
308,549b3801-eab1-4381-866e-d49a35b5c4d6,216
309,127114f0-323b-4068-b417-90382df7b7dc,78
310,f3f4e3d7-3601-4308-b3f4-7d9c7aa0722d,102
311,5b374286-216a-4772-9804-10cdd38d55cf,30
312,059a7213-87d6-4383-8953-b812240e1c60,444
313,3412f091-bdf4-490b-82e8-70c8f68ce5b5,30
314,856d888c-ca57-4efe-8c66-71d1f0f5aeb8,48
315,9c8388c8-56ff-4c4f-87f4-fead2d0abdd4,42
316,a8238e7d-0f81-41ea-868a-ad8ab056ab80,18
317,2a07ea58-b3c7-45c0-acd1-3129409a5409,174
318,40d6eea0-cbdc-4394-bf2a-f8295691613e,186
319,5c18f424-b85f-45fa-b667-bdae5dd60d3d,1992
320,4b2509e0-03e4-4425-98a2-3999af2a80da,24
321,d721b08e-884e-4c58-a9c1-4235cf918eee,6
322,575b8aa8-8009-4aa9-be63-95e0c9736c29,72
323,e9b052e0-b189-47a3-b6ab-5ea49bdcdda1,264
324,b6cceb93-2622-495c-9fd3-6cb6c2c42531,84
325,444e01d2-a70a-43cc-aa4f-32d47676de3c,180
326,ef287c37-0c3a-4186-8f2c-f429bc1eb6df,2946
327,37cde3f6-b40d-4e05-a572-c2eca078fdb0,156
328,e2ef4321-8588-45e0-9c56-e43bf771348f,6
329,25abb417-68e3-46f6-a237-541ae803f0c9,84
330,cc3f548b-50af-4e5b-9cc8-8452dd80f3eb,54
331,be07d007-d072-48b4-85c2-e5ae6460f573,6
332,a29ba678-4e91-40b5-9d4d-4a4f5f4e86b2,1506
333,73418245-16aa-4cd8-8ac8-9516eaa7e0f3,3420
334,3897eb0d-7ca7-4e05-a1f9-4094900ffa82,4800
