,qname,teloBPLengths
68,19972822-0e2d-47b5-863a-fea14cefeb2b,888
69,1b3dfcd5-8867-4df0-bb55-4c6004ba9ca1,90
70,1beb6d81-7d66-43e2-a227-87b0dcbfacc7,12
71,1d901302-a50e-42cb-a924-1baa40dd2f2b,162
72,0bd66c71-df3a-44db-8cc4-9248430b60c4,1902
73,0c48eb0f-c916-4444-aa42-456656fbdd1e,588
74,0d0da55c-83b4-459f-ac47-fb9e118f6dff,72
75,0dda957d-c612-47f6-8fe5-858b35c4c3c7,120
76,0fb3212e-556e-4b35-bbf4-7c8de87a8d4f,228
77,14b7db71-91b6-412e-9413-76234390664a,144
78,15141bb0-eb2a-488a-8674-8804e78ee80e,30
79,1078176d-a33d-4364-86be-3682c7ad0da3,108
80,11015cd4-9f5a-4736-950e-76f9d5b94fe4,6
81,1128e823-f646-4979-9392-f4f375717c9d,48
82,117490bb-0cf1-4c75-9a88-235e38dfbe1b,48
83,12602628-df04-45b6-afc0-9a126fa60762,738
84,127114f0-323b-4068-b417-90382df7b7dc,114
85,10705ce2-d6a9-401c-baa1-d73a9d162ee7,174
86,107f518c-31ea-484a-9803-f090684b815c,186
87,118540a5-4b38-41ed-961e-9b9c6c21d144,2268
88,12dcafea-9406-4a11-ae28-ebab3f7d1e53,366
89,165c6bde-8cd3-4df8-bd40-5f37ca7fb8f5,54
90,16bf0c72-f782-40b6-8db8-fff510b4115c,24
91,185273a8-d799-4b15-bee4-a09c9a60e0dd,1482
92,18b9735a-058a-4d5f-b820-a911b3690b14,36
93,1599935c-4d5e-4787-b17b-e0044123ab19,54
94,18f3daef-f9f9-4642-a0dc-434d187c7342,6
95,1613c0d8-454c-4ce0-a065-e72f69c64efa,36
96,17f3ad41-3ddf-4135-9391-c36612a03d30,174
97,1800419a-c758-406b-8432-e9e42616fdef,360
98,1907652e-3541-426c-b53c-17cbd4bc1e52,108
99,173b4b18-a27e-4ee4-ac07-8a3e2f1aae26,84
100,17a9c0ef-7ef3-4fe8-9f3a-f327187a5ace,24
101,18a90fd3-d992-46dc-9cc4-39c3c0bb69f8,228
102,18ad1084-203c-4b63-b5c8-df9dba4c5815,90
103,1db221ae-a874-456f-acda-0ea2cd24f811,492
104,1e16a9ec-556e-49b3-bef7-173e122cd2f5,18
105,1ea5c6f3-04d9-4975-9694-e85b72d0d108,24
106,1eedddd1-9ae9-4009-bc67-867b5b0e952e,78
107,2004eb03-286c-45c1-9bf6-a56e30f8f50e,42
108,20cf2ee2-ea3d-4831-b447-aff1b538ecc7,12
109,20d914fb-180e-4511-b0d6-34c6c2394035,36
110,2433a827-0948-4d6b-bbaf-15e350ef930c,6
111,1a853380-5908-4d2e-82cb-d7e9a1a65530,966
112,1abca525-da5a-4212-b3b5-081c965e681a,192
113,1aea7ea6-4fee-4b72-b6ec-644db3f8604d,264
114,1b2fddaa-f6da-449b-b4ed-8826f6e8f05f,78
115,1d4e7f5e-86d6-40b9-9573-172298bbda4a,270
116,1edd2315-6652-4708-9654-d25343b25190,534
117,1f1adee5-e264-4323-8c5e-19c4e58d3d54,6
118,1fe07c03-b496-403f-a5c4-626056058264,30
119,193c946c-0015-43a2-a667-bb7dfe07c088,42
